epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,794.313,1.55961,1.48848,1.68236,0.51608,0.64843,0.54307,0.31494,1.54917,1.38108,1.59712,0.0820021,0.00199976,0.00199976
2,1521.9,1.27294,1.02998,1.44192,0.512,0.7237,0.54865,0.33989,1.39661,1.54764,1.54673,0.064002,0.00399961,0.00399961
3,2241.05,1.22944,0.98376,1.41854,0.54393,0.69177,0.56285,0.34716,1.44147,1.48812,1.55553,0.0460012,0.00599883,0.00599883
4,2958.28,1.2427,0.99995,1.43161,0.49254,0.70137,0.51643,0.32387,1.39393,1.86663,1.52065,0.0279993,0.00799695,0.00799695
5,3672.92,1.2888,1.05632,1.47217,0.46526,0.66625,0.45057,0.26284,1.5157,1.86537,1.62906,0.00999586,0.00999351,0.00999351
6,4391.59,1.30099,1.06733,1.49169,0.51171,0.67008,0.52002,0.3123,1.61776,2.05227,1.70631,0.00999023,0.00999023,0.00999023
7,5110.9,1.22599,0.98376,1.43521,0.52544,0.66274,0.53014,0.31982,1.52712,1.92832,1.65528,0.00998594,0.00998594,0.00998594
8,5824.49,1.16664,0.91467,1.38612,0.48928,0.6866,0.4992,0.31209,1.55895,2.37984,1.70238,0.00998086,0.00998086,0.00998086
9,6540.02,1.11615,0.87188,1.35157,0.51689,0.56206,0.4923,0.31319,1.46628,2.15572,1.62312,0.00997501,0.00997501,0.00997501
10,7264.08,1.06293,0.82806,1.3143,0.54862,0.58343,0.57501,0.37336,1.39533,1.85769,1.55828,0.00996838,0.00996838,0.00996838
11,7985.02,1.03169,0.79115,1.29203,0.53037,0.63829,0.52131,0.33856,1.38852,2.18098,1.52801,0.00996097,0.00996097,0.00996097
12,8748.06,0.99817,0.76559,1.26988,0.53185,0.66109,0.52871,0.34573,1.35834,2.13728,1.516,0.00995278,0.00995278,0.00995278
