epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.924,1.65463,1.66924,1.76403,0.45892,0.43194,0.43796,0.2082,2.04706,1.92561,2.14511,0.0670155,0.000333177,0.000333177
2,803.131,1.53946,1.45434,1.67447,0.50638,0.63292,0.54434,0.27876,1.83923,1.46235,2.00356,0.0340155,0.000666484,0.000666484
3,1188.04,1.43441,1.30079,1.58942,0.47238,0.66506,0.52966,0.30726,1.56088,1.4797,1.75337,0.00101537,0.000999687,0.000999687
4,1571.43,1.34284,1.18166,1.51677,0.52947,0.71666,0.57631,0.35565,1.51475,1.42195,1.70884,0.000999648,0.000999648,0.000999648
5,1954.67,1.26095,1.08077,1.45852,0.57592,0.64139,0.58029,0.36306,1.42698,1.39412,1.64302,0.000999375,0.000999375,0.000999375
6,2335.08,1.2021,1.01238,1.41634,0.54893,0.7483,0.61804,0.40202,1.38065,1.23849,1.60715,0.000999023,0.000999023,0.000999023
7,2713.3,1.1567,0.95756,1.37522,0.54659,0.76643,0.63091,0.42431,1.31239,1.23565,1.55339,0.000998594,0.000998594,0.000998594
8,3091.76,1.11653,0.91644,1.34867,0.54954,0.78766,0.63085,0.41799,1.34186,1.30796,1.56747,0.000998086,0.000998086,0.000998086
9,3468.3,1.08841,0.89584,1.32727,0.58506,0.7313,0.6809,0.47239,1.24776,1.17915,1.51966,0.000997501,0.000997501,0.000997501
10,3846.27,1.04808,0.85614,1.30079,0.57209,0.8041,0.68722,0.47754,1.23266,1.35863,1.49058,0.000996838,0.000996838,0.000996838
11,4224.79,1.02247,0.8282,1.27829,0.60162,0.70948,0.66615,0.46759,1.23364,1.23307,1.48216,0.000996097,0.000996097,0.000996097
12,6849.33,0.9965,0.81146,1.26386,0.61857,0.68316,0.63488,0.44858,1.18705,1.30443,1.44952,0.000995278,0.000995278,0.000995278
13,7230.27,0.98079,0.79547,1.25372,0.56842,0.79418,0.646,0.46167,1.15555,1.23937,1.45178,0.000994383,0.000994383,0.000994383
14,7609.41,0.95646,0.77058,1.23429,0.65157,0.672,0.67344,0.48203,1.18364,1.29426,1.45844,0.00099341,0.00099341,0.00099341
15,7986.93,0.93841,0.75628,1.22156,0.57511,0.81087,0.65065,0.47165,1.11274,1.36734,1.42213,0.000992359,0.000992359,0.000992359
16,8365.61,0.92074,0.7378,1.20811,0.62159,0.70789,0.68042,0.50511,1.08119,1.33619,1.40721,0.000991232,0.000991232,0.000991232
17,8743.81,0.90542,0.72259,1.20013,0.66412,0.66844,0.68938,0.50712,1.10946,1.30685,1.39825,0.000990028,0.000990028,0.000990028
18,9122.88,0.88687,0.7108,1.18499,0.58306,0.81846,0.68159,0.51379,1.06228,1.34371,1.38091,0.000988748,0.000988748,0.000988748
19,9502.51,0.87341,0.69916,1.17741,0.6504,0.69549,0.67011,0.50087,1.06874,1.33472,1.39491,0.000987391,0.000987391,0.000987391
20,9882.37,0.86686,0.69454,1.16997,0.66233,0.67675,0.68553,0.52021,1.05172,1.32936,1.37523,0.000985958,0.000985958,0.000985958
21,10263,0.85502,0.68432,1.16565,0.65101,0.69335,0.69286,0.52456,1.02454,1.24254,1.36098,0.000984449,0.000984449,0.000984449
22,10647.2,0.84492,0.6724,1.16133,0.67228,0.67928,0.70946,0.54577,1.01629,1.20302,1.366,0.000982864,0.000982864,0.000982864
23,11030.1,0.83685,0.6622,1.15009,0.62584,0.74146,0.69222,0.52956,1.01979,1.35406,1.36823,0.000981204,0.000981204,0.000981204
24,11409,0.82283,0.65496,1.14614,0.62155,0.75651,0.68751,0.52913,1.02368,1.3448,1.36258,0.000979468,0.000979468,0.000979468
25,11788.1,0.80713,0.64337,1.13695,0.65733,0.69041,0.69724,0.54307,0.99982,1.33596,1.36755,0.000977658,0.000977658,0.000977658
26,12167.3,0.79606,0.63455,1.12764,0.6629,0.7056,0.71974,0.55981,1.00856,1.26616,1.369,0.000975773,0.000975773,0.000975773
27,12546.5,0.78473,0.62498,1.1213,0.65229,0.71695,0.72942,0.56988,1.01147,1.21347,1.3578,0.000973814,0.000973814,0.000973814
