                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5928,                 1.9201,                 1.5098,                0.51385,                0.31705,                0.26813,                0.13978,                 1.7648,                  1.826,                 1.6134,               0.067023,              0.0003331,              0.0003331
                      2,                 1.5091,                 1.5696,                 1.4783,                0.44099,                0.43213,                 0.3866,                0.20482,                 1.5544,                 1.4343,                  1.535,               0.034023,             0.00066614,             0.00066614
                      3,                 1.4556,                 1.4306,                 1.4408,                0.46282,                0.51196,                 0.4921,                0.26607,                 1.4397,                 1.2809,                  1.449,              0.0010214,             0.00099803,             0.00099803
                      4,                  1.387,                 1.3198,                 1.3991,                0.48723,                0.55827,                0.53454,                 0.3033,                 1.3713,                 1.1602,                  1.397,              0.0009961,              0.0009961,              0.0009961
                      5,                 1.3367,                 1.2253,                 1.3631,                0.63827,                0.59922,                0.62835,                0.35805,                  1.324,                 1.0626,                 1.3665,             0.00099307,             0.00099307,             0.00099307
                      6,                 1.2894,                 1.1568,                 1.3357,                0.62827,                0.64915,                 0.6667,                0.37188,                 1.3005,                 1.0265,                 1.3607,             0.00098918,             0.00098918,             0.00098918
                      7,                 1.2572,                  1.112,                 1.3119,                0.69746,                0.63846,                0.69453,                0.41147,                 1.2477,                0.99635,                 1.3046,             0.00098445,             0.00098445,             0.00098445
                      8,                 1.2279,                 1.0678,                 1.2973,                0.72424,                0.65659,                0.72518,                  0.441,                 1.2059,                 0.9282,                 1.2984,             0.00097887,             0.00097887,             0.00097887
                      9,                 1.2112,                 1.0468,                 1.2851,                0.65147,                0.68695,                0.69673,                0.41991,                 1.1878,                0.92157,                 1.2638,             0.00097247,             0.00097247,             0.00097247
                     10,                 1.1785,                 1.0028,                 1.2634,                0.74439,                0.67714,                0.73812,                 0.4586,                 1.1584,                0.87866,                  1.255,             0.00096524,             0.00096524,             0.00096524
                     11,                 1.1583,                0.98409,                 1.2546,                0.76094,                0.68513,                0.76066,                0.46362,                 1.1498,                0.85832,                 1.2438,             0.00095721,             0.00095721,             0.00095721
                     12,                 1.1506,                0.96978,                 1.2482,                0.77443,                0.73519,                0.79208,                0.49276,                 1.1236,                0.82945,                 1.2272,             0.00094838,             0.00094838,             0.00094838
