epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.008,1.64697,1.59766,1.52076,0.47915,0.49431,0.45939,0.20246,2.03464,1.83993,1.93271,0.0510461,0.00099906,0.00099906
2,459.93,1.51459,1.2947,1.43811,0.74368,0.55573,0.68281,0.36959,1.64815,1.33937,1.54486,0.0020441,0.00199711,0.00199711
3,677.547,1.41855,1.13718,1.37602,0.81911,0.65944,0.7634,0.45425,1.49363,1.09334,1.45727,0.00199219,0.00199219,0.00199219
4,1037.64,1.31943,1.02224,1.31627,0.80137,0.72443,0.80798,0.48568,1.50501,1.01793,1.45736,0.00198246,0.00198246,0.00198246
5,1445.47,1.25331,0.95269,1.27849,0.8024,0.70391,0.78942,0.49309,1.41717,1.00963,1.38398,0.0019689,0.0019689,0.0019689
6,1779.6,1.19513,0.88757,1.24139,0.84968,0.75499,0.85178,0.54003,1.42277,0.90959,1.37155,0.00195155,0.00195155,0.00195155
7,2064.49,1.15652,0.84762,1.22703,0.82236,0.77892,0.86248,0.55874,1.34101,0.87781,1.32664,0.00193048,0.00193048,0.00193048
8,2355.9,1.11755,0.81632,1.2014,0.80796,0.76561,0.85234,0.5607,1.31331,0.87292,1.3193,0.00190578,0.00190578,0.00190578
9,2653.48,1.08536,0.77973,1.18358,0.86709,0.79729,0.88779,0.60113,1.2709,0.78297,1.29282,0.00187754,0.00187754,0.00187754
10,2954.03,1.06117,0.76015,1.16646,0.86887,0.80572,0.89611,0.60672,1.27949,0.77871,1.29291,0.00184588,0.00184588,0.00184588
11,3246.96,1.02818,0.73205,1.14948,0.84501,0.80587,0.88872,0.62191,1.21194,0.77341,1.26312,0.00181093,0.00181093,0.00181093
12,3542.95,1.01597,0.71987,1.14019,0.87399,0.82229,0.90352,0.6368,1.20587,0.7243,1.24999,0.00177281,0.00177281,0.00177281
13,3850.09,0.98935,0.69782,1.12811,0.86595,0.79278,0.90333,0.63001,1.22369,0.73374,1.24269,0.00173168,0.00173168,0.00173168
14,4189.55,0.97016,0.67218,1.11673,0.89689,0.80131,0.90327,0.64125,1.19292,0.71262,1.2458,0.0016877,0.0016877,0.0016877
15,4493.38,0.94837,0.65645,1.10674,0.86966,0.8403,0.91031,0.66531,1.12139,0.68901,1.21493,0.00164105,0.00164105,0.00164105
16,4796.19,0.93115,0.64598,1.09621,0.86623,0.84503,0.91068,0.68045,1.10151,0.67921,1.20825,0.00159191,0.00159191,0.00159191
17,5101.74,0.92312,0.63387,1.09287,0.88132,0.82027,0.91194,0.68925,1.08231,0.67136,1.19789,0.00154047,0.00154047,0.00154047
18,5413.58,0.89959,0.61726,1.08127,0.88623,0.84241,0.91833,0.68888,1.08995,0.65846,1.20567,0.00148694,0.00148694,0.00148694
19,5679.18,0.8841,0.60074,1.07134,0.87937,0.85399,0.923,0.7027,1.06912,0.64007,1.17889,0.00143152,0.00143152,0.00143152
20,6038.76,0.87232,0.59299,1.06515,0.88081,0.85952,0.9178,0.70352,1.05306,0.63405,1.16545,0.00137444,0.00137444,0.00137444
