epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5291,1.47745,2.35232,1.61403,0.66528,0.67962,0.68633,0.30291,1.71913,1.69983,1.57711,0.0701034,0.00332184,0.00332184
2,130.765,1.35282,1.57758,1.48106,0.60358,0.64287,0.57988,0.28613,1.70586,1.65188,1.68004,0.0401009,0.00665263,0.00665263
3,191.164,1.40373,1.5266,1.52807,0.40545,0.53823,0.51867,0.2306,1.92685,2.02316,1.96315,0.0100882,0.00997326,0.00997326
4,251.515,1.43563,1.51936,1.54524,0.71538,0.67974,0.70136,0.3086,1.84204,1.5856,1.68343,0.00996569,0.00996569,0.00996569
5,310.64,1.40512,1.41791,1.51292,0.71707,0.66004,0.70819,0.34289,1.70122,1.37612,1.74276,0.00993906,0.00993906,0.00993906
6,369.27,1.36353,1.33576,1.48523,0.69327,0.5763,0.63298,0.31478,1.82718,1.51779,1.84672,0.00990489,0.00990489,0.00990489
7,429.173,1.31252,1.25364,1.45824,0.7371,0.66559,0.67774,0.30402,1.80591,1.48598,1.93006,0.00986323,0.00986323,0.00986323
8,488.969,1.30114,1.2166,1.44368,0.72147,0.69797,0.72675,0.37558,1.67367,1.31095,1.65376,0.00981415,0.00981415,0.00981415
9,547.999,1.25985,1.15697,1.42464,0.7524,0.7707,0.78836,0.38871,1.69824,1.20815,1.6242,0.00975773,0.00975773,0.00975773
10,606.388,1.23697,1.1108,1.39974,0.72957,0.74289,0.74337,0.36676,1.6575,1.25362,1.60946,0.00969405,0.00969405,0.00969405
11,665.938,1.22337,1.08227,1.38891,0.70738,0.76621,0.75501,0.39886,1.60467,1.17381,1.62257,0.0096232,0.0096232,0.0096232
12,725.665,1.19486,1.0374,1.36387,0.80104,0.76155,0.79672,0.40215,1.66691,1.15448,1.60907,0.00954531,0.00954531,0.00954531
13,784.417,1.18383,1.03365,1.35471,0.81866,0.78961,0.81416,0.42411,1.58609,1.05677,1.5672,0.00946048,0.00946048,0.00946048
14,842.843,1.15174,0.99836,1.33199,0.77704,0.81447,0.80728,0.41122,1.57696,1.0262,1.51164,0.00936886,0.00936886,0.00936886
15,902.89,1.14913,0.96653,1.32031,0.82538,0.75305,0.81951,0.41989,1.64783,1.09248,1.58558,0.00927057,0.00927057,0.00927057
16,962.943,1.11769,0.942,1.30998,0.84459,0.82507,0.83256,0.43621,1.59223,1.00741,1.51175,0.00916577,0.00916577,0.00916577
17,1023.27,1.11247,0.91902,1.3066,0.77429,0.78967,0.80247,0.42316,1.57103,1.0415,1.56496,0.00905463,0.00905463,0.00905463
18,1093.06,1.12205,0.92729,1.29974,0.80987,0.74495,0.78193,0.40973,1.59365,1.11978,1.55475,0.00893732,0.00893732,0.00893732
19,1157,1.08688,0.88653,1.28481,0.8181,0.74541,0.81333,0.45018,1.53032,1.14039,1.50511,0.00881401,0.00881401,0.00881401
20,1216.87,1.07934,0.88116,1.27774,0.81449,0.80862,0.81233,0.45438,1.52944,0.96735,1.48589,0.0086849,0.0086849,0.0086849
21,1275.89,1.05305,0.85932,1.26549,0.82546,0.76735,0.80373,0.44517,1.55101,1.09067,1.54824,0.00855018,0.00855018,0.00855018
22,1334.58,1.05928,0.86388,1.26915,0.84341,0.81956,0.84755,0.46438,1.56149,0.94299,1.57677,0.00841006,0.00841006,0.00841006
23,1396.46,1.0402,0.83751,1.2531,0.79423,0.81278,0.79642,0.43953,1.51193,0.96593,1.45889,0.00826477,0.00826477,0.00826477
24,1456.31,1.02345,0.8024,1.23996,0.81154,0.81351,0.8359,0.45838,1.53386,0.94578,1.55889,0.00811452,0.00811452,0.00811452
25,1515.14,1.0293,0.81987,1.24568,0.83786,0.80632,0.82726,0.47117,1.44571,0.91442,1.46669,0.00795954,0.00795954,0.00795954
26,1574.23,1.0096,0.79366,1.23127,0.81917,0.80395,0.81847,0.45563,1.53499,0.97484,1.54533,0.00780007,0.00780007,0.00780007
27,1634.21,1.00958,0.78561,1.23243,0.8337,0.81064,0.854,0.4786,1.50082,0.8942,1.49963,0.00763637,0.00763637,0.00763637
28,1694.37,0.98286,0.77114,1.21393,0.83054,0.83881,0.85134,0.48729,1.47541,0.87608,1.45892,0.00746868,0.00746868,0.00746868
29,1754.22,0.97293,0.75279,1.20692,0.84209,0.81865,0.84921,0.49082,1.4025,0.88708,1.4402,0.00729725,0.00729725,0.00729725
