epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.755,2.06372,3.1487,2.17713,0.67649,0.11768,0.12165,0.0493,1.98404,3.04201,2.07295,0.0667287,3.33046e-05,3.33046e-05
2,241.622,1.80427,2.86135,1.99325,0.18868,0.18351,0.1645,0.06985,1.88376,2.78412,1.97334,0.0334287,6.66125e-05,6.66125e-05
3,358.727,1.74121,2.64347,1.948,0.27691,0.26428,0.21867,0.09881,1.82755,2.51572,1.93282,0.000128554,9.98187e-05,9.98187e-05
4,475.528,1.68747,2.41122,1.88287,0.3945,0.33645,0.32305,0.14662,1.79657,2.22326,1.87839,9.96569e-05,9.96569e-05,9.96569e-05
5,590.516,1.67535,2.17604,1.84995,0.5224,0.38802,0.42314,0.19095,1.78808,2.00418,1.8513,9.93906e-05,9.93906e-05,9.93906e-05
6,708.515,1.64342,1.99179,1.81034,0.57267,0.44125,0.49934,0.22591,1.76631,1.84608,1.81647,9.90489e-05,9.90489e-05,9.90489e-05
7,827.023,1.61361,1.8722,1.77885,0.5729,0.49498,0.52604,0.24334,1.78058,1.76755,1.82122,9.86323e-05,9.86323e-05,9.86323e-05
8,942.359,1.60305,1.79082,1.7674,0.58744,0.55889,0.57162,0.26552,1.75348,1.6827,1.79062,9.81415e-05,9.81415e-05,9.81415e-05
9,1057.13,1.56487,1.71075,1.72636,0.62921,0.55955,0.60632,0.2874,1.73188,1.60397,1.77111,9.75773e-05,9.75773e-05,9.75773e-05
10,1175.86,1.54438,1.65441,1.71317,0.6621,0.59332,0.63907,0.3065,1.72388,1.54269,1.76534,9.69405e-05,9.69405e-05,9.69405e-05
11,1288.37,1.55076,1.60955,1.71114,0.66804,0.61758,0.65463,0.31488,1.71962,1.51262,1.74817,9.6232e-05,9.6232e-05,9.6232e-05
12,1406.9,1.5189,1.57077,1.69036,0.68788,0.65382,0.6854,0.3352,1.70579,1.43981,1.73529,9.54531e-05,9.54531e-05,9.54531e-05
13,1522.89,1.49988,1.51614,1.67293,0.72051,0.631,0.68375,0.33436,1.69971,1.43087,1.72328,9.46048e-05,9.46048e-05,9.46048e-05
14,1640.89,1.47996,1.48138,1.66228,0.7485,0.64827,0.70254,0.34268,1.69031,1.39821,1.71577,9.36886e-05,9.36886e-05,9.36886e-05
15,1755.2,1.47186,1.45259,1.65425,0.75302,0.68023,0.73084,0.35897,1.68316,1.33867,1.71179,9.27057e-05,9.27057e-05,9.27057e-05
16,1874.57,1.4615,1.42106,1.63611,0.75572,0.69567,0.74009,0.36532,1.66966,1.32181,1.69834,9.16577e-05,9.16577e-05,9.16577e-05
17,1992.87,1.44883,1.38053,1.62069,0.76427,0.69234,0.7458,0.3681,1.6699,1.2941,1.68612,9.05463e-05,9.05463e-05,9.05463e-05
18,2111.42,1.42839,1.36371,1.61211,0.75781,0.70913,0.75297,0.36912,1.67975,1.28094,1.69185,8.93732e-05,8.93732e-05,8.93732e-05
19,2227.28,1.43079,1.34181,1.60666,0.79417,0.698,0.76937,0.37692,1.68099,1.26414,1.68107,8.81401e-05,8.81401e-05,8.81401e-05
20,2344.45,1.41804,1.32327,1.59416,0.78954,0.708,0.76603,0.38169,1.66383,1.25056,1.68106,8.6849e-05,8.6849e-05,8.6849e-05
21,2459.12,1.40546,1.31033,1.59106,0.77121,0.72032,0.76502,0.37865,1.65732,1.25669,1.66982,8.55018e-05,8.55018e-05,8.55018e-05
22,2577.16,1.40951,1.28937,1.58808,0.77301,0.71983,0.77228,0.38607,1.65136,1.24079,1.66269,8.41006e-05,8.41006e-05,8.41006e-05
23,2689.11,1.39728,1.27726,1.57456,0.77118,0.72452,0.7611,0.38589,1.64142,1.22765,1.65182,8.26477e-05,8.26477e-05,8.26477e-05
24,2802.92,1.38059,1.25319,1.56634,0.76669,0.73311,0.77577,0.38804,1.64252,1.21443,1.65577,8.11452e-05,8.11452e-05,8.11452e-05
25,2916.11,1.38156,1.24514,1.56394,0.77156,0.74073,0.77823,0.38839,1.64502,1.20675,1.64855,7.95954e-05,7.95954e-05,7.95954e-05
26,3029.18,1.37525,1.22689,1.55077,0.77343,0.74848,0.78629,0.39582,1.63245,1.19186,1.64297,7.80007e-05,7.80007e-05,7.80007e-05
27,3143.62,1.35887,1.21812,1.54378,0.77456,0.76129,0.78034,0.39763,1.63399,1.18459,1.64232,7.63637e-05,7.63637e-05,7.63637e-05
28,3255.21,1.35727,1.20053,1.54502,0.7701,0.75433,0.77229,0.39362,1.61683,1.19261,1.63039,7.46868e-05,7.46868e-05,7.46868e-05
29,3368.83,1.34399,1.19542,1.53246,0.77185,0.75189,0.78129,0.4001,1.62523,1.17289,1.63995,7.29725e-05,7.29725e-05,7.29725e-05
30,3481.32,1.33949,1.19003,1.53156,0.78631,0.75809,0.78218,0.40047,1.62623,1.17656,1.63446,7.12237e-05,7.12237e-05,7.12237e-05
31,3595.16,1.34355,1.1742,1.53048,0.78051,0.75748,0.78266,0.3991,1.62487,1.17245,1.63346,6.94428e-05,6.94428e-05,6.94428e-05
32,3706.28,1.32686,1.16686,1.51866,0.76302,0.76038,0.77435,0.39818,1.6246,1.16973,1.62987,6.76328e-05,6.76328e-05,6.76328e-05
33,3821.84,1.32596,1.15263,1.52029,0.77395,0.75309,0.77557,0.39604,1.61977,1.17368,1.62255,6.57963e-05,6.57963e-05,6.57963e-05
34,3933.41,1.32134,1.14118,1.52189,0.76558,0.76687,0.78287,0.40276,1.61197,1.15332,1.61579,6.39363e-05,6.39363e-05,6.39363e-05
35,4050.11,1.31624,1.14848,1.51155,0.78264,0.7598,0.79258,0.40947,1.60652,1.14473,1.61993,6.20555e-05,6.20555e-05,6.20555e-05
36,4161.27,1.30952,1.14689,1.50467,0.76432,0.77211,0.77341,0.40056,1.60906,1.15918,1.61735,6.0157e-05,6.0157e-05,6.0157e-05
37,4274.44,1.30259,1.13443,1.49742,0.75108,0.76427,0.76639,0.40192,1.60818,1.15434,1.61606,5.82435e-05,5.82435e-05,5.82435e-05
38,4388.13,1.30244,1.11692,1.49855,0.76621,0.76579,0.78175,0.40793,1.60637,1.14278,1.61105,5.63181e-05,5.63181e-05,5.63181e-05
39,4502.93,1.29101,1.11006,1.49534,0.76389,0.77875,0.78027,0.40453,1.61225,1.14087,1.61472,5.43837e-05,5.43837e-05,5.43837e-05
40,4614.92,1.29985,1.11122,1.48949,0.76573,0.77077,0.77851,0.40535,1.60559,1.13885,1.60632,5.24434e-05,5.24434e-05,5.24434e-05
41,4730.49,1.29382,1.10389,1.48564,0.76237,0.7806,0.78266,0.40841,1.60256,1.13163,1.60927,5.05e-05,5.05e-05,5.05e-05
42,4843.26,1.27982,1.10084,1.48166,0.76541,0.77505,0.78424,0.41125,1.59689,1.13019,1.60338,4.85566e-05,4.85566e-05,4.85566e-05
43,4957.77,1.28708,1.09866,1.48448,0.76432,0.78066,0.7808,0.40754,1.59994,1.12603,1.60596,4.66163e-05,4.66163e-05,4.66163e-05
44,5074.24,1.27816,1.09275,1.47951,0.76291,0.77704,0.78107,0.40738,1.60003,1.12864,1.60701,4.46819e-05,4.46819e-05,4.46819e-05
45,5186.19,1.27964,1.08769,1.47139,0.76874,0.77629,0.78533,0.41231,1.59407,1.11948,1.60023,4.27565e-05,4.27565e-05,4.27565e-05
