                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3512,                 1.5256,                  1.461,                0.64961,                0.58642,                0.60492,                0.34614,                 1.3337,                 1.1737,                 1.3299,               0.066902,             0.00016632,             0.00016632
                      2,                 1.1943,                0.99481,                 1.3359,                0.78303,                0.77012,                0.80943,                0.49805,                 1.1777,                 0.8297,                  1.196,               0.033736,             0.00033291,             0.00033291
                      3,                 1.1035,                0.81865,                 1.2729,                0.82615,                 0.7868,                0.84742,                0.53737,                 1.0969,                0.74069,                 1.1422,             0.00056847,             0.00049917,             0.00049917
                      4,                 1.0456,                0.73753,                 1.2361,                0.81226,                0.80385,                0.84071,                0.54618,                  1.088,                0.69604,                  1.138,              0.0004989,              0.0004989,              0.0004989
                      5,                 1.0138,                0.68885,                  1.216,                0.84481,                0.81196,                0.85639,                 0.5591,                  1.049,                0.67089,                 1.1151,             0.00049805,             0.00049805,             0.00049805
                      6,                0.97518,                0.65335,                 1.1916,                0.83527,                 0.8377,                0.87188,                0.58217,                 1.0231,                0.63255,                 1.1031,             0.00049695,             0.00049695,             0.00049695
                      7,                0.95468,                0.62994,                 1.1783,                0.86554,                0.83641,                0.88294,                0.59618,                0.99691,                0.61364,                 1.0913,             0.00049562,             0.00049562,             0.00049562
                      8,                0.94311,                0.60129,                 1.1715,                0.88372,                0.83394,                0.88116,                0.58884,                 1.0147,                0.60532,                 1.0902,             0.00049404,             0.00049404,             0.00049404
                      9,                0.92285,                0.59329,                  1.164,                0.87038,                0.83761,                0.88968,                0.59799,                 1.0001,                0.58877,                  1.088,             0.00049222,             0.00049222,             0.00049222
                     10,                0.91083,                0.57554,                  1.153,                0.86899,                0.85021,                0.89642,                0.60553,                0.96472,                0.57733,                 1.0717,             0.00049017,             0.00049017,             0.00049017
                     11,                0.89977,                0.56316,                 1.1504,                0.88387,                0.82707,                0.89154,                0.61426,                0.96243,                0.58928,                 1.0717,             0.00048789,             0.00048789,             0.00048789
                     12,                  0.884,                0.54829,                 1.1393,                0.87063,                0.85793,                0.90175,                0.62044,                0.96108,                0.56037,                 1.0667,             0.00048537,             0.00048537,             0.00048537
                     13,                0.87448,                0.53966,                 1.1328,                0.88758,                0.84962,                0.90362,                0.61844,                0.95183,                0.55645,                  1.069,             0.00048262,             0.00048262,             0.00048262
                     14,                0.86102,                0.52892,                 1.1226,                0.87501,                0.85273,                0.90222,                0.62388,                0.94828,                0.56526,                 1.0586,             0.00047964,             0.00047964,             0.00047964
                     15,                0.85815,                0.51455,                 1.1224,                0.88688,                0.84567,                0.90021,                0.62935,                0.93957,                 0.5527,                 1.0567,             0.00047644,             0.00047644,             0.00047644
                     16,                0.84758,                 0.5084,                 1.1162,                0.86817,                0.86551,                0.90166,                0.62117,                0.94677,                0.55984,                 1.0679,             0.00047302,             0.00047302,             0.00047302
                     17,                0.84317,                0.50483,                 1.1108,                  0.892,                0.85866,                 0.9047,                0.63919,                0.91537,                0.53846,                 1.0416,             0.00046939,             0.00046939,             0.00046939
