epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,373.169,1.5172,1.55348,1.50193,0.71982,0.54709,0.5741,0.34994,1.31963,0.93308,1.46126,0.00333196,0.00333196,0.00333196
2,711.15,1.22387,0.99755,1.28873,0.73541,0.57123,0.58949,0.36929,1.19779,0.83229,1.38724,0.00658281,0.00658281,0.00658281
3,1112.55,1.20146,0.98414,1.27341,0.61468,0.55823,0.61129,0.37122,1.25067,0.93065,1.43366,0.00975116,0.00975116,0.00975116
4,1479.54,1.21872,0.99418,1.28558,0.70438,0.57816,0.57419,0.35711,1.21738,0.96281,1.38742,0.00962875,0.00962875,0.00962875
5,1833.16,1.14646,0.92145,1.24698,0.63369,0.6191,0.64559,0.41493,1.11515,0.76927,1.3532,0.009505,0.009505,0.009505
6,2152.25,1.07306,0.84476,1.21017,0.77108,0.6395,0.66149,0.44115,1.07419,0.72175,1.3301,0.00938125,0.00938125,0.00938125
7,2472.72,1.02361,0.80073,1.18567,0.79628,0.6253,0.67719,0.45622,0.99367,0.75173,1.27212,0.0092575,0.0092575,0.0092575
8,2806.22,0.98056,0.75654,1.16076,0.8293,0.6368,0.69383,0.48426,0.98482,0.64762,1.265,0.00913375,0.00913375,0.00913375
9,3196.67,0.94218,0.72347,1.14044,0.82499,0.64738,0.69633,0.48838,0.97466,0.66941,1.25391,0.00901,0.00901,0.00901
10,3540.72,0.90348,0.68725,1.11851,0.84415,0.66187,0.70724,0.49248,0.93921,0.61226,1.22202,0.00888625,0.00888625,0.00888625
11,3855.16,0.88607,0.66515,1.10805,0.82969,0.67832,0.70712,0.49324,0.89481,0.60951,1.22318,0.0087625,0.0087625,0.0087625
12,4332.66,0.85503,0.64285,1.0946,0.85941,0.6886,0.72677,0.51947,0.88315,0.56227,1.20103,0.00863875,0.00863875,0.00863875
