epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.468,1.74808,2.49247,1.55199,0.89164,0.04406,0.06496,0.02718,2.18055,3.322,1.81065,0.0700247,0.00333059,0.00333059
2,424.433,1.79293,2.25166,1.57137,0.89893,0.03571,0.03651,0.01296,2.37878,3.77167,2.06974,0.0399422,0.00658146,0.00658146
3,602.855,2.06586,2.59691,1.85816,0.30899,0.01716,0.02249,0.00652,2.77362,4.11948,2.35538,0.00977726,0.00974982,0.00974982
4,794.764,2.48352,3.12086,2.15144,0.30138,0.01716,0.00644,0.0021,3.09116,3.98664,2.75299,0.00962875,0.00962875,0.00962875
5,1096.68,2.49938,3.29508,2.11633,0.00188,0.22036,0.0064,0.00179,2.84201,3.80561,2.60028,0.009505,0.009505,0.009505
6,1340.91,2.49964,3.28628,2.10826,0.0019,0.20934,0.01258,0.00314,3.03935,3.73894,2.57508,0.00938125,0.00938125,0.00938125
7,2503.56,2.42762,3.14621,2.08655,0.00264,0.24268,0.02172,0.00643,2.63866,3.52154,2.31909,0.0092575,0.0092575,0.0092575
8,2806.37,2.3493,3.12278,2.01974,0.4327,0.04267,0.02114,0.00561,2.75755,3.68017,2.41511,0.00913375,0.00913375,0.00913375
9,3062.69,2.30388,3.04799,1.99741,0.32288,0.032,0.03272,0.00914,2.61148,3.55546,2.20895,0.00901,0.00901,0.00901
10,3309.74,2.19552,2.97107,1.92036,0.44166,0.04406,0.02215,0.00678,2.55839,3.58571,2.20634,0.00888625,0.00888625,0.00888625
11,3500.82,2.15162,2.92055,1.91315,0.3111,0.01763,0.02679,0.00784,2.53009,3.48903,2.2555,0.0087625,0.0087625,0.0087625
12,3688.15,2.13375,2.84699,1.91017,0.29465,0.08163,0.03657,0.01244,2.37397,3.38184,2.09957,0.00863875,0.00863875,0.00863875
13,3879.02,2.06074,2.70042,1.84213,0.45314,0.03015,0.03685,0.01201,2.44414,3.23097,2.11308,0.008515,0.008515,0.008515
14,4067.54,2.01574,2.64847,1.79732,0.32195,0.08992,0.03437,0.01137,2.40305,3.09769,2.0685,0.00839125,0.00839125,0.00839125
15,4257.43,1.94785,2.486,1.7472,0.66918,0.05129,0.05516,0.01826,2.50819,3.0956,2.14841,0.0082675,0.0082675,0.0082675
16,4540.28,1.92255,2.43024,1.72722,0.65335,0.04566,0.0804,0.03164,2.39323,3.02671,2.04096,0.00814375,0.00814375,0.00814375
17,4731.59,1.88127,2.32154,1.6944,0.72828,0.05544,0.10685,0.04472,2.39313,2.83802,2.03914,0.00802,0.00802,0.00802
18,4926.37,1.84312,2.17712,1.67007,0.58171,0.11084,0.12412,0.05017,2.4507,2.86841,2.05514,0.00789625,0.00789625,0.00789625
19,5122.9,1.81935,2.0675,1.6397,0.56916,0.11534,0.11344,0.04685,2.51676,2.97053,2.11509,0.0077725,0.0077725,0.0077725
20,5319.94,1.78691,2.02569,1.61146,0.50259,0.09568,0.11067,0.04445,2.49916,3.13939,2.10518,0.00764875,0.00764875,0.00764875
21,5518.58,1.76034,1.95358,1.59806,0.57337,0.12473,0.13858,0.05697,2.47478,3.08098,2.05869,0.007525,0.007525,0.007525
22,5734.05,1.71899,1.8925,1.55572,0.5786,0.14347,0.14751,0.06316,2.42937,3.20357,2.02176,0.00740125,0.00740125,0.00740125
23,5960.32,1.69324,1.82979,1.53762,0.57002,0.12532,0.13134,0.05502,2.41967,2.89857,2.02386,0.0072775,0.0072775,0.0072775
24,6180.28,1.66876,1.7717,1.52955,0.56255,0.18752,0.17576,0.08024,2.33269,2.72415,1.92583,0.00715375,0.00715375,0.00715375
25,6398.4,1.623,1.7075,1.48974,0.54297,0.17804,0.17384,0.07037,2.37243,2.56326,1.97929,0.00703,0.00703,0.00703
26,6544.01,1.60321,1.66214,1.47534,0.52004,0.19381,0.19889,0.08077,2.31091,2.43682,1.93264,0.00690625,0.00690625,0.00690625
