epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.799,1.86973,2.74201,2.22572,0.40205,0.36487,0.32086,0.10485,2.17424,2.70399,2.47644,0.0800789,9.96552e-06,9.96552e-06
2,262.052,1.70013,2.3965,2.07981,0.47364,0.42694,0.37998,0.13127,2.03202,2.51456,2.39558,0.0600889,1.99633e-05,1.99633e-05
3,393.809,1.66349,2.23606,2.03018,0.5105,0.42936,0.4002,0.13044,2.20449,2.42488,2.47718,0.0400989,2.99525e-05,2.99525e-05
4,522.759,1.63902,2.10506,1.97948,0.64389,0.61275,0.6532,0.26653,1.88692,1.88098,2.10574,0.0201089,3.99265e-05,3.99265e-05
5,651.968,1.58841,2.01949,1.94634,0.6848,0.64194,0.68157,0.27741,1.84336,1.83143,2.10197,0.000118844,4.98788e-05,4.98788e-05
6,782.042,1.5639,1.96078,1.93418,0.69197,0.68871,0.69952,0.29968,1.78137,1.73672,2.04844,4.98644e-05,4.98644e-05,4.98644e-05
7,911.689,1.53664,1.90527,1.89805,0.72083,0.7104,0.7261,0.30868,1.78103,1.67797,2.03838,4.98048e-05,4.98048e-05,4.98048e-05
8,1041.04,1.53219,1.86687,1.88169,0.72973,0.70324,0.72514,0.32093,1.76765,1.63894,2.02872,4.97345e-05,4.97345e-05,4.97345e-05
9,1169.86,1.49521,1.81591,1.85336,0.74106,0.71982,0.73871,0.3282,1.76408,1.57538,1.98783,4.96534e-05,4.96534e-05,4.96534e-05
10,1299.4,1.4889,1.79723,1.84559,0.74128,0.73625,0.7498,0.33467,1.75489,1.54097,1.96261,4.95616e-05,4.95616e-05,4.95616e-05
11,1428.3,1.48678,1.76871,1.835,0.76449,0.73879,0.75347,0.3206,1.83685,1.53685,2.01293,4.94592e-05,4.94592e-05,4.94592e-05
12,1557.98,1.47633,1.73331,1.82585,0.76366,0.72897,0.76135,0.33698,1.77326,1.48032,1.94756,4.93461e-05,4.93461e-05,4.93461e-05
