                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92637,                 2.1878,                 1.1585,                0.87292,                0.82634,                0.89091,                0.63985,                 1.1077,                 1.4561,                 1.2081,               0.067056,             0.00033277,             0.00033277
                      1,                0.92637,                 2.1878,                 1.1585,                0.87292,                0.82634,                0.89091,                0.63985,                 1.1077,                 1.4561,                 1.2081,               0.067056,             0.00033277,             0.00033277
                      2,                0.92189,                 1.4062,                 1.1592,                0.89605,                0.82659,                0.90925,                0.67174,                 1.0531,                 1.3295,                 1.1783,               0.034054,              0.0006643,              0.0006643
                      3,                0.91837,                 1.3687,                 1.1565,                0.88619,                0.84898,                0.91461,                 0.6777,                 1.0539,                 1.2803,                 1.1761,              0.0010451,             0.00098862,             0.00098862
                      4,                0.91158,                 1.3393,                 1.1529,                0.89293,                0.85669,                0.92082,                0.69009,                 1.0314,                 1.2292,                 1.1595,             0.00097577,             0.00097577,             0.00097577
                      1,                0.93154,                 1.9843,                 1.1623,                0.88512,                0.82911,                0.89784,                0.65674,                 1.0703,                 1.3864,                 1.1874,               0.067028,             0.00033305,             0.00033305
                      2,                0.92793,                 1.4271,                 1.1636,                0.87867,                0.84625,                0.90946,                0.67088,                 1.0588,                 1.3294,                 1.1771,               0.034026,             0.00066458,             0.00066458
                      3,                0.92535,                  1.392,                 1.1608,                0.88872,                0.85056,                0.91696,                0.68463,                 1.0421,                 1.2654,                 1.1659,              0.0010172,              0.0009889,              0.0009889
                      4,                0.92265,                 1.3632,                 1.1582,                0.89745,                0.85562,                0.92133,                0.68768,                  1.046,                 1.2453,                 1.1635,             0.00097577,             0.00097577,             0.00097577
                      5,                0.91644,                 1.3267,                 1.1533,                0.89674,                0.85918,                0.92339,                0.69562,                 1.0221,                 1.1993,                 1.1504,             0.00095721,             0.00095721,             0.00095721
                      6,                0.91018,                 1.3042,                 1.1498,                0.88922,                0.87429,                0.92834,                0.69481,                 1.0369,                 1.1825,                 1.1526,             0.00093368,             0.00093368,             0.00093368
                      7,                 0.9093,                 1.2908,                 1.1474,                0.90731,                0.85823,                0.92901,                0.70089,                 1.0158,                 1.1582,                 1.1427,             0.00090546,             0.00090546,             0.00090546
                      8,                0.90622,                 1.2792,                 1.1471,                0.90822,                0.86692,                0.93215,                 0.7019,                 1.0175,                 1.1419,                 1.1435,             0.00087286,             0.00087286,             0.00087286
                      9,                0.90758,                   1.27,                 1.1465,                0.90447,                   0.87,                0.93246,                0.70937,                 1.0033,                 1.1258,                  1.135,             0.00083622,             0.00083622,             0.00083622
                     10,                 0.8973,                 1.2576,                 1.1413,                0.89622,                0.87534,                0.93394,                0.71073,                 1.0006,                 1.1183,                 1.1335,             0.00079595,             0.00079595,             0.00079595
                      1,                0.91483,                 1.8994,                 1.1904,                0.87923,                0.81706,                0.89245,                 0.6468,                 1.0932,                 1.4444,                 1.1967,               0.067028,             0.00033305,             0.00033305
                      2,                0.90647,                 1.2308,                 1.1841,                0.89918,                0.82979,                0.90838,                0.66923,                 1.0577,                 1.3251,                 1.1708,               0.034026,             0.00066458,             0.00066458
                      3,                0.89178,                 1.1547,                 1.1724,                0.89086,                0.84784,                0.91769,                0.68169,                 1.0429,                 1.2564,                 1.1606,              0.0010172,              0.0009889,              0.0009889
                      4,                0.88831,                 1.1102,                 1.1684,                0.90068,                0.84659,                 0.9237,                 0.6855,                 1.0554,                 1.2341,                 1.1629,             0.00097577,             0.00097577,             0.00097577
                      5,                0.88145,                 1.0753,                 1.1651,                0.90867,                0.85836,                0.92898,                0.69704,                 1.0215,                 1.1816,                 1.1482,             0.00095721,             0.00095721,             0.00095721
                      6,                0.87245,                 1.0522,                 1.1576,                0.90317,                0.86679,                 0.9319,                0.69914,                 1.0206,                 1.1571,                 1.1459,             0.00093368,             0.00093368,             0.00093368
                      7,                0.86556,                 1.0325,                 1.1564,                0.90952,                 0.8626,                0.93267,                0.70283,                 1.0149,                 1.1417,                 1.1417,             0.00090546,             0.00090546,             0.00090546
                      8,                0.85953,                 1.0094,                 1.1493,                0.90308,                0.87479,                 0.9356,                 0.7093,                  1.002,                 1.1154,                 1.1337,             0.00087286,             0.00087286,             0.00087286
                      9,                0.85627,                 1.0032,                 1.1493,                0.90101,                0.88117,                 0.9384,                0.71346,                0.98998,                 1.0944,                  1.129,             0.00083622,             0.00083622,             0.00083622
                      1,                0.91483,                 1.8994,                 1.1904,                0.87923,                0.81706,                0.89245,                 0.6468,                 1.0932,                 1.4444,                 1.1967,               0.067028,             0.00033305,             0.00033305
                      2,                0.90647,                 1.2308,                 1.1841,                0.89918,                0.82979,                0.90838,                0.66923,                 1.0577,                 1.3251,                 1.1708,               0.034026,             0.00066458,             0.00066458
                      3,                0.89178,                 1.1547,                 1.1724,                0.89086,                0.84784,                0.91769,                0.68169,                 1.0429,                 1.2564,                 1.1606,              0.0010172,              0.0009889,              0.0009889
                      4,                0.88831,                 1.1102,                 1.1684,                0.90068,                0.84659,                 0.9237,                 0.6855,                 1.0554,                 1.2341,                 1.1629,             0.00097577,             0.00097577,             0.00097577
                      5,                0.88145,                 1.0753,                 1.1651,                0.90867,                0.85836,                0.92898,                0.69704,                 1.0215,                 1.1816,                 1.1482,             0.00095721,             0.00095721,             0.00095721
                      6,                0.87245,                 1.0522,                 1.1576,                0.90317,                0.86679,                 0.9319,                0.69914,                 1.0206,                 1.1571,                 1.1459,             0.00093368,             0.00093368,             0.00093368
                      7,                0.86556,                 1.0325,                 1.1564,                0.90952,                 0.8626,                0.93267,                0.70283,                 1.0149,                 1.1417,                 1.1417,             0.00090546,             0.00090546,             0.00090546
                      8,                0.85953,                 1.0094,                 1.1493,                0.90308,                0.87479,                 0.9356,                 0.7093,                  1.002,                 1.1154,                 1.1337,             0.00087286,             0.00087286,             0.00087286
                      9,                0.85627,                 1.0032,                 1.1493,                0.90101,                0.88117,                 0.9384,                0.71346,                0.98998,                 1.0944,                  1.129,             0.00083622,             0.00083622,             0.00083622
                     10,                0.85005,                0.98462,                 1.1436,                0.90698,                0.88054,                 0.9388,                0.71611,                0.99346,                 1.0842,                 1.1291,             0.00079595,             0.00079595,             0.00079595
                     11,                 0.8445,                0.97271,                 1.1398,                0.90773,                0.88066,                0.94005,                0.71743,                0.98707,                 1.0735,                 1.1259,              0.0007525,              0.0007525,              0.0007525
                     12,                0.84411,                0.96598,                 1.1395,                0.90339,                0.88205,                0.93927,                 0.7177,                 0.9873,                 1.0733,                 1.1282,             0.00070633,             0.00070633,             0.00070633
                     13,                0.83559,                0.95092,                 1.1363,                0.91382,                0.88352,                0.94246,                0.72261,                0.97434,                 1.0483,                 1.1215,             0.00065796,             0.00065796,             0.00065796
                     14,                0.83265,                 0.9457,                  1.133,                0.90837,                0.89078,                0.94369,                0.72448,                0.97614,                 1.0491,                 1.1198,             0.00060792,             0.00060792,             0.00060792
                     15,                0.83019,                0.93896,                 1.1329,                0.90531,                0.89179,                0.94312,                0.72389,                0.96849,                 1.0414,                 1.1149,             0.00055674,             0.00055674,             0.00055674
                     16,                0.82584,                0.93034,                 1.1268,                 0.9061,                0.89245,                0.94455,                  0.727,                0.96473,                 1.0364,                 1.1141,               0.000505,               0.000505,               0.000505
                     17,                0.82017,                0.91689,                 1.1286,                0.90988,                0.89156,                0.94522,                0.72742,                0.96254,                 1.0286,                 1.1119,             0.00045326,             0.00045326,             0.00045326
                     18,                0.82165,                0.92124,                 1.1275,                 0.9145,                 0.8885,                0.94525,                0.72938,                0.96061,                 1.0213,                  1.111,             0.00040208,             0.00040208,             0.00040208
                     19,                0.81898,                 0.9171,                 1.1263,                0.91162,                0.88848,                0.94491,                 0.7288,                0.96144,                 1.0252,                 1.1105,             0.00035204,             0.00035204,             0.00035204
                     20,                0.81637,                0.91481,                 1.1235,                0.91817,                0.88696,                 0.9463,                0.73141,                0.95302,                 1.0161,                 1.1078,             0.00030367,             0.00030367,             0.00030367
                     21,                0.81186,                0.90285,                 1.1203,                0.92009,                0.88573,                0.94664,                0.73119,                0.95959,                  1.015,                 1.1083,              0.0002575,              0.0002575,              0.0002575
                     22,                0.80909,                0.90177,                 1.1219,                0.91256,                0.89428,                0.94615,                 0.7321,                 0.9548,                 1.0144,                 1.1073,             0.00021405,             0.00021405,             0.00021405
                     23,                0.80796,                0.90099,                  1.121,                 0.9182,                0.88925,                0.94587,                0.73152,                0.95522,                 1.0136,                 1.1073,             0.00017378,             0.00017378,             0.00017378
                     24,                0.80611,                0.89778,                 1.1201,                0.92064,                 0.8877,                0.94625,                0.73308,                0.95215,                 1.0087,                  1.107,             0.00013714,             0.00013714,             0.00013714
                     25,                0.80433,                0.89556,                 1.1174,                0.92125,                0.88826,                0.94664,                0.73306,                0.95051,                 1.0085,                 1.1061,             0.00010454,             0.00010454,             0.00010454
                     26,                0.80327,                 0.8885,                 1.1148,                0.92015,                0.88962,                0.94652,                0.73273,                0.95128,                 1.0084,                  1.106,             7.6317e-05,             7.6317e-05,             7.6317e-05
                     27,                0.80195,                0.89272,                 1.1164,                0.91612,                0.89246,                0.94628,                0.73297,                0.95233,                 1.0091,                 1.1064,             5.2795e-05,             5.2795e-05,             5.2795e-05
                     28,                0.80027,                0.88948,                 1.1147,                 0.9178,                 0.8899,                0.94622,                0.73367,                0.95287,                 1.0084,                 1.1066,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     29,                0.80324,                 0.8913,                 1.1175,                0.91629,                0.89189,                 0.9467,                0.73325,                0.95151,                 1.0076,                  1.106,             2.0817e-05,             2.0817e-05,             2.0817e-05
                     30,                0.80118,                0.89055,                 1.1145,                0.91477,                 0.8937,                0.94646,                0.73362,                0.95101,                 1.0071,                 1.1058,             1.2712e-05,             1.2712e-05,             1.2712e-05
