epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.673,1.62256,1.80757,1.37391,0.53088,0.34206,0.35732,0.19123,1.6624,1.77494,1.45554,0.0802326,0.000199671,0.000199671
2,397.644,1.40189,1.26955,1.27379,0.61448,0.43313,0.42773,0.23443,1.53084,1.42039,1.36426,0.0604325,0.000399573,0.000399573
3,640.772,1.31339,1.14365,1.23771,0.68664,0.45241,0.52491,0.30804,1.37962,1.225,1.32841,0.040632,0.000599085,0.000599085
4,876.404,1.25117,1.04541,1.20774,0.6248,0.48336,0.5522,0.31976,1.32339,1.05162,1.27566,0.0208308,0.000797914,0.000797914
5,1081.77,1.19574,0.98927,1.18452,0.59569,0.52969,0.57679,0.36204,1.28042,1.04,1.27812,0.00102866,0.000995769,0.000995769
6,1279.58,1.15136,0.93318,1.16249,0.63662,0.54489,0.60658,0.38823,1.17807,0.9167,1.19416,0.000993906,0.000993906,0.000993906
7,1501.4,1.11534,0.89238,1.1477,0.64345,0.55212,0.60806,0.37834,1.19575,0.92249,1.21193,0.000991232,0.000991232,0.000991232
8,1750.27,1.08063,0.85824,1.13048,0.66866,0.56265,0.63754,0.40879,1.09102,0.79316,1.17895,0.000988079,0.000988079,0.000988079
9,1998.6,1.04444,0.82195,1.11382,0.80551,0.58521,0.65108,0.42473,1.0696,0.78721,1.15438,0.000984449,0.000984449,0.000984449
10,2213.98,1.01833,0.79272,1.0996,0.8271,0.60444,0.65966,0.42753,1.04519,0.76786,1.14946,0.000980345,0.000980345,0.000980345
11,2427.08,0.99925,0.77172,1.09118,0.80757,0.6148,0.67038,0.45137,1.02376,0.72519,1.13359,0.000975773,0.000975773,0.000975773
12,2632.07,0.97509,0.76053,1.08345,0.82133,0.6091,0.67264,0.45879,1.01691,0.70799,1.13147,0.000970736,0.000970736,0.000970736
13,2842.46,0.96239,0.73764,1.07858,0.81359,0.62404,0.67464,0.45975,1.00022,0.69769,1.1147,0.000965239,0.000965239,0.000965239
14,3048.26,0.93205,0.71968,1.0642,0.81132,0.62745,0.68289,0.46606,0.97561,0.6754,1.10118,0.000959289,0.000959289,0.000959289
