epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,437.87,1.71197,1.69104,1.63048,0.58326,0.42501,0.47511,0.23479,1.86686,1.84711,1.78386,0.0671782,0.000499824,0.000499824
2,795.674,1.52396,1.30986,1.51483,0.76968,0.66486,0.7462,0.429,1.61665,1.26797,1.62885,0.0343448,0.000999715,0.000999715
3,1071.9,1.43259,1.16405,1.45837,0.64301,0.70187,0.67549,0.38807,1.54124,1.18913,1.53994,0.00151093,0.00149917,0.00149917
4,1330.15,1.3479,1.05427,1.40209,0.80483,0.74231,0.81538,0.48888,1.47707,1.00598,1.48856,0.00149853,0.00149853,0.00149853
5,1611.18,1.28521,0.97709,1.36238,0.841,0.72859,0.83339,0.54182,1.38921,0.95397,1.43991,0.0014974,0.0014974,0.0014974
6,1888.34,1.23558,0.91752,1.33201,0.8396,0.75193,0.85505,0.54789,1.41009,0.91057,1.40714,0.00149593,0.00149593,0.00149593
7,2150.1,1.18376,0.86673,1.29293,0.86342,0.76498,0.86035,0.56913,1.3264,0.85248,1.38211,0.00149415,0.00149415,0.00149415
8,2409.32,1.15227,0.83421,1.2766,0.85873,0.76755,0.86853,0.58596,1.32743,0.83902,1.37333,0.00149203,0.00149203,0.00149203
9,2670.12,1.12737,0.80753,1.25959,0.8541,0.7717,0.87313,0.58185,1.31261,0.82197,1.35815,0.0014896,0.0014896,0.0014896
10,2930.45,1.09871,0.7793,1.23787,0.85382,0.79763,0.8809,0.58011,1.32443,0.79886,1.36836,0.00148685,0.00148685,0.00148685
11,3188.62,1.0777,0.76072,1.2266,0.86176,0.79304,0.88777,0.59312,1.2808,0.77608,1.34963,0.00148377,0.00148377,0.00148377
12,3448.55,1.05015,0.73783,1.21122,0.85843,0.79147,0.89113,0.62587,1.20991,0.75531,1.31522,0.00148038,0.00148038,0.00148038
13,3706.6,1.04319,0.72435,1.20685,0.84196,0.8053,0.89062,0.62485,1.23925,0.74887,1.32384,0.00147667,0.00147667,0.00147667
14,3963.4,1.02419,0.70805,1.19554,0.86969,0.81048,0.9061,0.65524,1.18694,0.71387,1.31189,0.00147265,0.00147265,0.00147265
15,4221.17,1.00701,0.69385,1.18159,0.89558,0.79818,0.90364,0.66092,1.15306,0.70564,1.30847,0.00146831,0.00146831,0.00146831
16,4483.17,0.99152,0.68385,1.17259,0.86595,0.82128,0.90389,0.66349,1.16001,0.70211,1.28946,0.00146366,0.00146366,0.00146366
17,4738.38,0.98598,0.67149,1.16774,0.87612,0.80756,0.90374,0.661,1.15249,0.69049,1.29533,0.0014587,0.0014587,0.0014587
18,4994.68,0.96827,0.65805,1.16082,0.85721,0.82277,0.90461,0.66991,1.123,0.68027,1.29481,0.00145343,0.00145343,0.00145343
19,5256.21,0.95481,0.64814,1.14987,0.88615,0.82329,0.91031,0.6759,1.13368,0.66985,1.29084,0.00144786,0.00144786,0.00144786
20,5513.56,0.9496,0.6423,1.14877,0.85169,0.84325,0.90755,0.67618,1.13431,0.66866,1.27966,0.00144198,0.00144198,0.00144198
21,5772.73,0.93773,0.63028,1.13933,0.89191,0.81695,0.90991,0.68086,1.10006,0.66101,1.27117,0.00143581,0.00143581,0.00143581
22,6033.01,0.93011,0.62547,1.13705,0.891,0.8091,0.91197,0.68645,1.08517,0.64158,1.26261,0.00142933,0.00142933,0.00142933
23,6291.83,0.92341,0.61368,1.13206,0.88042,0.82133,0.90184,0.68704,1.066,0.63564,1.26059,0.00142257,0.00142257,0.00142257
24,6548.68,0.90867,0.60584,1.1238,0.85195,0.84569,0.90898,0.69535,1.06868,0.64666,1.26308,0.00141551,0.00141551,0.00141551
25,6808.29,0.89958,0.59779,1.11715,0.86274,0.84255,0.90331,0.6989,1.04989,0.64219,1.25359,0.00140816,0.00140816,0.00140816
26,7068.18,0.89194,0.5949,1.11245,0.87519,0.83341,0.91816,0.70754,1.06332,0.6305,1.25269,0.00140052,0.00140052,0.00140052
27,7325.29,0.88399,0.5848,1.10757,0.87606,0.83936,0.91164,0.70917,1.04124,0.61287,1.2503,0.00139261,0.00139261,0.00139261
28,7584.05,0.87894,0.57664,1.10484,0.85323,0.86608,0.9042,0.70814,1.02836,0.60244,1.24079,0.00138441,0.00138441,0.00138441
