                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9193,                 2.6149,                 1.9602,                0.24595,                0.26803,                0.11487,                0.04058,                 2.3109,                 2.2254,                 2.2296,               0.080214,             0.00019986,             0.00019986
                      2,                 1.8376,                 2.2783,                 1.8996,                0.41828,                0.32774,                0.28673,                 0.1045,                 2.1585,                 2.0896,                 2.0647,               0.060414,             0.00039983,             0.00039983
                      3,                 1.7874,                 2.1386,                 1.8538,                0.34201,                0.35285,                0.27859,                0.11313,                 2.0376,                 1.8125,                 1.9537,               0.040614,             0.00059971,             0.00059971
                      4,                 1.7452,                 2.0326,                 1.8099,                0.43804,                0.33832,                0.36138,                0.15953,                 1.8024,                 1.5778,                 1.7405,               0.020814,             0.00079941,             0.00079941
                      5,                 1.7116,                 1.9302,                 1.7756,                0.50658,                0.41125,                0.40316,                0.17837,                 1.7963,                 1.4887,                 1.7138,              0.0010132,             0.00099888,             0.00099888
                      6,                 1.6777,                 1.8301,                 1.7461,                0.54666,                0.50156,                0.50346,                 0.2222,                 1.7609,                 1.4042,                 1.6974,             0.00099847,             0.00099847,             0.00099847
                      7,                 1.6361,                 1.7481,                   1.72,                0.61338,                0.51196,                0.55266,                0.25584,                 1.7131,                 1.3207,                 1.6675,             0.00099779,             0.00099779,             0.00099779
                      8,                 1.6136,                 1.7073,                 1.6938,                0.67081,                0.49711,                0.57225,                0.27194,                 1.6233,                 1.2992,                 1.6084,               0.000997,               0.000997,               0.000997
                      9,                 1.5807,                  1.648,                 1.6643,                0.62809,                0.53186,                0.58027,                0.28429,                 1.6273,                  1.224,                  1.588,             0.00099608,             0.00099608,             0.00099608
                     10,                 1.5561,                 1.5905,                 1.6393,                0.63295,                0.57853,                0.61666,                0.29526,                  1.624,                  1.191,                 1.5749,             0.00099504,             0.00099504,             0.00099504
                     11,                 1.5376,                 1.5543,                 1.6278,                0.70258,                0.56725,                0.63492,                0.32286,                 1.5286,                 1.1478,                  1.524,             0.00099387,             0.00099387,             0.00099387
                     12,                  1.522,                 1.5147,                 1.6112,                0.69067,                0.57141,                0.63794,                0.32336,                 1.5446,                 1.1356,                 1.5258,             0.00099259,             0.00099259,             0.00099259
                     13,                 1.5042,                 1.5022,                 1.6046,                0.72615,                0.60804,                 0.6693,                 0.3383,                    1.5,                 1.1023,                 1.4979,             0.00099119,             0.00099119,             0.00099119
                     14,                 1.4832,                 1.4625,                 1.5849,                0.72426,                0.61919,                0.68408,                0.35443,                 1.4939,                 1.0652,                 1.4816,             0.00098966,             0.00098966,             0.00098966
                     15,                 1.4747,                 1.4438,                 1.5763,                0.72559,                0.64487,                0.70567,                0.36989,                 1.4723,                 1.0282,                 1.4581,             0.00098802,             0.00098802,             0.00098802
                     16,                 1.4626,                 1.4161,                  1.564,                0.71618,                0.65298,                0.70334,                0.36874,                 1.4789,                 1.0137,                 1.4656,             0.00098625,             0.00098625,             0.00098625
                     17,                 1.4548,                 1.4027,                 1.5614,                 0.7397,                0.65224,                0.70881,                0.36856,                 1.4439,                 1.0134,                 1.4423,             0.00098437,             0.00098437,             0.00098437
                     18,                 1.4336,                 1.3694,                 1.5365,                0.72449,                0.65546,                0.71671,                  0.379,                 1.4246,                 0.9975,                 1.4399,             0.00098237,             0.00098237,             0.00098237
                     19,                 1.4319,                 1.3578,                 1.5405,                0.72795,                0.67271,                  0.728,                0.38508,                 1.4387,                0.95799,                 1.4407,             0.00098025,             0.00098025,             0.00098025
                     20,                 1.4104,                 1.3241,                 1.5266,                0.73326,                0.68619,                0.74342,                0.40938,                 1.4113,                0.94172,                  1.418,             0.00097801,             0.00097801,             0.00097801
                     21,                 1.4143,                 1.3289,                 1.5241,                0.75975,                0.68891,                0.74548,                0.40652,                 1.4025,                0.93691,                 1.4035,             0.00097565,             0.00097565,             0.00097565
                     22,                 1.4014,                 1.3104,                 1.5166,                0.77094,                0.66888,                0.74649,                0.41625,                 1.3809,                0.92328,                 1.3962,             0.00097318,             0.00097318,             0.00097318
                     23,                 1.3825,                 1.2871,                  1.499,                0.76953,                0.69521,                0.75835,                0.41813,                  1.374,                0.91783,                   1.39,             0.00097059,             0.00097059,             0.00097059
                     24,                 1.3781,                 1.2786,                 1.4922,                 0.7855,                0.69328,                0.76894,                0.42978,                 1.3716,                0.90007,                 1.3812,             0.00096788,             0.00096788,             0.00096788
                     25,                 1.3679,                 1.2547,                 1.4889,                0.78515,                0.71715,                0.77767,                0.43811,                 1.3347,                0.86942,                 1.3662,             0.00096506,             0.00096506,             0.00096506
                     26,                 1.3685,                 1.2566,                 1.4875,                0.80164,                0.69598,                0.77695,                0.44098,                 1.3354,                0.86591,                 1.3637,             0.00096213,             0.00096213,             0.00096213
                     27,                 1.3586,                 1.2277,                 1.4818,                0.79064,                0.70001,                0.77806,                0.44257,                 1.3351,                0.85781,                 1.3686,             0.00095908,             0.00095908,             0.00095908
                     28,                 1.3519,                 1.2287,                 1.4783,                0.80191,                0.71706,                0.78589,                0.45404,                 1.3151,                0.84841,                 1.3547,             0.00095592,             0.00095592,             0.00095592
                     29,                 1.3456,                 1.2208,                 1.4725,                0.77861,                0.72425,                0.78276,                0.45374,                 1.3081,                0.84995,                  1.345,             0.00095265,             0.00095265,             0.00095265
                     30,                 1.3339,                 1.1883,                 1.4638,                0.79784,                0.72024,                0.78807,                 0.4625,                 1.2978,                0.83216,                 1.3379,             0.00094927,             0.00094927,             0.00094927
                     31,                 1.3267,                  1.182,                 1.4545,                0.80942,                0.72735,                0.79778,                0.46637,                 1.2841,                0.80775,                  1.328,             0.00094578,             0.00094578,             0.00094578
                     32,                 1.3192,                 1.1835,                 1.4494,                0.81033,                0.73396,                0.80472,                 0.4697,                 1.2813,                 0.8045,                 1.3244,             0.00094217,             0.00094217,             0.00094217
                     33,                 1.3231,                 1.1782,                 1.4559,                0.80733,                0.73829,                0.80316,                0.47325,                 1.2599,                0.79913,                 1.3111,             0.00093846,             0.00093846,             0.00093846
                     34,                 1.3137,                 1.1732,                 1.4419,                0.82558,                0.72899,                0.80836,                0.47572,                 1.2641,                0.80173,                 1.3169,             0.00093464,             0.00093464,             0.00093464
                     35,                 1.3012,                 1.1643,                 1.4393,                0.81376,                0.74167,                0.80667,                0.48251,                 1.2516,                0.78592,                 1.3081,             0.00093072,             0.00093072,             0.00093072
                     36,                 1.2938,                 1.1381,                 1.4322,                0.81374,                0.75354,                0.81701,                 0.4874,                  1.264,                0.77186,                 1.3092,             0.00092669,             0.00092669,             0.00092669
                     37,                 1.2925,                 1.1428,                 1.4308,                0.81702,                0.74453,                0.81412,                0.48762,                 1.2477,                 0.7691,                 1.2935,             0.00092255,             0.00092255,             0.00092255
                     38,                  1.279,                 1.1206,                 1.4172,                0.82247,                0.75058,                0.81819,                0.49494,                 1.2367,                0.76604,                 1.2893,             0.00091831,             0.00091831,             0.00091831
                     39,                 1.2773,                 1.1235,                  1.422,                0.79869,                0.76767,                0.82037,                0.49696,                 1.2347,                0.76494,                 1.2913,             0.00091397,             0.00091397,             0.00091397
                     40,                 1.2663,                 1.1058,                 1.4119,                0.82215,                0.76186,                0.82522,                 0.5021,                 1.2305,                0.75042,                 1.2902,             0.00090953,             0.00090953,             0.00090953
                     41,                 1.2709,                 1.1159,                 1.4157,                0.82732,                0.75232,                0.82323,                0.50027,                 1.2316,                0.75092,                 1.2859,             0.00090499,             0.00090499,             0.00090499
                     42,                 1.2562,                 1.0969,                 1.4036,                0.81926,                0.75626,                0.82476,                0.50501,                 1.2143,                0.74414,                 1.2816,             0.00090034,             0.00090034,             0.00090034
                     43,                 1.2489,                 1.0798,                 1.4003,                  0.805,                0.77096,                0.82628,                0.50158,                 1.2162,                0.73859,                 1.2786,              0.0008956,              0.0008956,              0.0008956
                     44,                 1.2561,                 1.0937,                 1.4032,                 0.8223,                0.76906,                0.83062,                0.50504,                  1.205,                0.73195,                 1.2731,             0.00089076,             0.00089076,             0.00089076
                     45,                 1.2431,                 1.0787,                 1.3922,                0.82013,                0.76941,                0.83324,                 0.5103,                 1.2001,                0.73232,                 1.2684,             0.00088583,             0.00088583,             0.00088583
                     46,                 1.2439,                  1.077,                 1.3976,                0.82339,                0.77585,                0.84028,                0.51546,                 1.1953,                0.72159,                  1.265,              0.0008808,              0.0008808,              0.0008808
