======================================================================
ENSEMBLE SHOPLIFTING DETECTION LOG
======================================================================

Models: 2
Merge method: Weighted Box Fusion (WBF)
Model weights: [0.45, 0.55]
Confidence: 0.2

Total frames processed: 201
Total detections: 319

----------------------------------------------------------------------
DETECTIONS:
----------------------------------------------------------------------
Frame      2 | shoplifting     | Conf: 0.4033 | Box: [425, 45, 556, 274]
Frame      2 | normal          | Conf: 0.3802 | Box: [448, 38, 540, 277]
Frame      3 | normal          | Conf: 0.7131 | Box: [436, 41, 546, 275]
Frame      3 | shoplifting     | Conf: 0.3113 | Box: [424, 46, 555, 276]
Frame      4 | normal          | Conf: 0.7852 | Box: [435, 45, 547, 278]
Frame      5 | normal          | Conf: 0.7373 | Box: [435, 45, 547, 280]
Frame      5 | shoplifting     | Conf: 0.1939 | Box: [424, 48, 555, 290]
Frame      6 | normal          | Conf: 0.7200 | Box: [435, 46, 548, 288]
Frame      7 | normal          | Conf: 0.7221 | Box: [434, 48, 548, 291]
Frame      8 | normal          | Conf: 0.6380 | Box: [437, 53, 549, 286]
Frame      8 | shoplifting     | Conf: 0.1821 | Box: [422, 51, 556, 293]
Frame      9 | normal          | Conf: 0.5296 | Box: [442, 54, 547, 283]
Frame      9 | shoplifting     | Conf: 0.3218 | Box: [422, 53, 555, 290]
Frame     10 | normal          | Conf: 0.5940 | Box: [439, 53, 549, 286]
Frame     10 | shoplifting     | Conf: 0.2419 | Box: [421, 54, 554, 295]
Frame     11 | normal          | Conf: 0.6011 | Box: [438, 51, 550, 289]
Frame     11 | shoplifting     | Conf: 0.1844 | Box: [422, 52, 555, 297]
Frame     12 | shoplifting     | Conf: 0.3661 | Box: [427, 50, 553, 282]
Frame     12 | normal          | Conf: 0.3444 | Box: [456, 53, 547, 290]
Frame     13 | shoplifting     | Conf: 0.4063 | Box: [433, 49, 552, 281]
Frame     13 | normal          | Conf: 0.3580 | Box: [456, 54, 547, 291]
Frame     14 | shoplifting     | Conf: 0.4409 | Box: [435, 48, 554, 287]
Frame     14 | normal          | Conf: 0.3600 | Box: [453, 58, 545, 288]
Frame     15 | shoplifting     | Conf: 0.4413 | Box: [434, 49, 553, 289]
Frame     15 | normal          | Conf: 0.3631 | Box: [453, 58, 545, 290]
Frame     16 | shoplifting     | Conf: 0.4390 | Box: [435, 51, 554, 288]
Frame     16 | normal          | Conf: 0.3648 | Box: [454, 60, 545, 293]
Frame     17 | shoplifting     | Conf: 0.4265 | Box: [440, 54, 555, 290]
Frame     17 | normal          | Conf: 0.3633 | Box: [454, 61, 545, 296]
Frame     18 | normal          | Conf: 0.6218 | Box: [448, 55, 548, 308]
Frame     18 | shoplifting     | Conf: 0.2892 | Box: [440, 58, 556, 318]
Frame     19 | normal          | Conf: 0.6178 | Box: [449, 57, 548, 312]
