======================================================================
SHOPLIFTING DETECTION LOG
Date: 2026-03-14 11:01:05
Source: C:\Users\vrajr\Downloads\WhatsApp Video 2026-03-10 at 00.45.09.mp4
Confidence: 0.15
Strategy: Best-of-Both-Models
======================================================================

Frame      2 | normal          | Conf: 0.8449 | Model: Fast Model                     | Box: [448, 38, 540, 276]
Frame      2 | normal          | Conf: 0.7333 | Model: Stable Model (150ep)           | Box: [425, 45, 556, 273]
Frame      3 | normal          | Conf: 0.8338 | Model: Fast Model (best)              | Box: [448, 38, 539, 277]
Frame      3 | normal          | Conf: 0.5659 | Model: Stable Model (150ep)           | Box: [423, 46, 554, 276]
Frame      4 | shoplifting     | Conf: 0.8145 | Model: Stable Model (150ep) (best)    | Box: [425, 46, 553, 276]
Frame      5 | shoplifting     | Conf: 0.7541 | Model: Stable Model (150ep) (best)    | Box: [424, 46, 554, 279]
Frame      5 | normal          | Conf: 0.3525 | Model: Stable Model (150ep)           | Box: [424, 48, 555, 289]
Frame      6 | shoplifting     | Conf: 0.7516 | Model: Stable Model (150ep) (best)    | Box: [422, 45, 553, 289]
Frame      7 | shoplifting     | Conf: 0.7581 | Model: Stable Model (150ep) (best)    | Box: [421, 45, 554, 292]
Frame      8 | normal          | Conf: 0.7293 | Model: Fast Model (best)              | Box: [452, 53, 541, 280]
Frame      8 | normal          | Conf: 0.3312 | Model: Stable Model (150ep)           | Box: [422, 51, 556, 293]
Frame      9 | normal          | Conf: 0.7811 | Model: Fast Model (best)              | Box: [452, 54, 542, 279]
Frame      9 | normal          | Conf: 0.5851 | Model: Stable Model (150ep)           | Box: [422, 53, 554, 290]
Frame     10 | normal          | Conf: 0.7569 | Model: Fast Model (best)              | Box: [453, 54, 545, 279]
Frame     10 | normal          | Conf: 0.4399 | Model: Stable Model (150ep)           | Box: [421, 54, 554, 295]
Frame     11 | normal          | Conf: 0.7149 | Model: Fast Model (best)              | Box: [453, 53, 545, 281]
Frame     11 | normal          | Conf: 0.3352 | Model: Stable Model (150ep)           | Box: [422, 51, 554, 296]
Frame     12 | normal          | Conf: 0.7653 | Model: Fast Model                     | Box: [455, 53, 546, 289]
Frame     12 | normal          | Conf: 0.6656 | Model: Stable Model (150ep)           | Box: [427, 50, 552, 282]
Frame     13 | normal          | Conf: 0.7957 | Model: Fast Model                     | Box: [456, 53, 546, 290]
Frame     13 | normal          | Conf: 0.7388 | Model: Stable Model (150ep)           | Box: [432, 49, 552, 281]
Frame     14 | normal          | Conf: 0.8000 | Model: Fast Model                     | Box: [453, 58, 544, 287]
Frame     14 | normal          | Conf: 0.8017 | Model: Stable Model (150ep)           | Box: [434, 47, 553, 287]
Frame     15 | normal          | Conf: 0.8069 | Model: Fast Model                     | Box: [452, 58, 544, 290]
Frame     15 | normal          | Conf: 0.8023 | Model: Stable Model (150ep)           | Box: [434, 48, 553, 288]
Frame     16 | normal          | Conf: 0.8107 | Model: Fast Model                     | Box: [454, 60, 545, 292]
Frame     16 | normal          | Conf: 0.7983 | Model: Stable Model (150ep)           | Box: [434, 50, 553, 287]
